,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
244,244.0,66.0,852.2517758719623,2869.1172278262675,42.0,1.0,860.4165760837495,2877.7140280492604,844.0869756601752,2860.5204276032746,1110.0008851047553
45842,45842.0,273.0,5091.201098978519,5297.177319742739,740.0,1.0,5103.307899292558,5306.36811998114,5079.0942986644795,5287.986519504338,861.4484971703239
24714,24714.0,95.0,3599.941246457398,1581.6449109613895,445.0,1.0,3607.188046645373,1585.7597110681236,3592.694446269423,1577.5301108546555,489.4389030711676
11862,11862.0,182.0,2278.444629553705,1506.423901822418,243.0,1.0,2283.3694296814497,1512.8607019893827,2273.519829425961,1499.9871016554534,527.7147292968451
74878,74878.0,142.0,8119.360325891525,3130.9728136956687,1197.0,1.0,8123.529125999659,3136.38361383602,8115.191525783391,3125.562013555318,515.5830022674743
7218,7218.0,157.0,1837.2895058356225,3810.272483438253,175.0,1.0,1843.4023059941828,3814.2792835421865,1831.1767056770623,3806.2656833343212,459.6710321668663
26796,26796.0,223.0,3777.1056543700397,5719.94455145672,476.0,1.0,3782.138454500586,5726.381351623684,3772.0728542394936,5713.507751289754,742.3906604338281
12676,12676.0,251.0,2428.0538685582583,1770.3889590650797,256.0,1.0,2432.9786686860025,1778.1757592670622,2423.129068430513,1762.6021588630974,568.150086914555
53334,53334.0,112.0,6041.902233205736,1261.3439294695856,858.0,1.0,6045.909033309668,1267.402729626745,6037.895433101803,1255.285129312426,228.63581530119498
27504,27504.0,160.0,3805.1716167368,3507.780514355749,487.0,1.0,3813.0124169401824,3513.785314511508,3797.330816533417,3501.7757141999896,728.492187232801
21755,21755.0,113.0,3046.991029519588,4777.955434937029,394.0,1.0,3053.96782970056,4785.796235140413,3040.0142293386157,4770.114634733647,781.6761808718863
35882,35882.0,204.0,4309.608135148883,6160.525200635196,605.0,1.0,4314.3709352724245,6166.476000789553,4304.84533502534,6154.5744004808375,638.9245598662006
29388,29388.0,257.0,4039.746491886675,2231.714198101312,516.0,1.0,4047.101292077452,2243.442998405546,4032.3916916958974,2219.985397797078,1110.3005916003012
