,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
59729,59729.0,214.0,6615.63595443219,6860.964376218617,961.0,1.0,6620.5067545585325,6867.779176395386,6610.7651543058455,6854.149576041848,570.6044259218814
127,127.0,134.0,575.700482390821,3546.484589792788,27.0,1.0,583.7032825984062,3553.5153899751604,567.6976821832359,3539.453789610416,871.8082292277675
77093,77093.0,124.0,8280.731610734016,4231.071504179387,1233.0,1.0,8286.41241088137,4236.320304315537,8275.050810586661,4225.822704043239,646.9552242828169
46351,46351.0,74.0,5141.842022918166,6629.676001217215,747.0,1.0,5147.036823052913,6635.788801375777,5136.6472227834165,6623.563201058656,686.6484015420242
46444,46444.0,77.0,5255.69676284492,6607.03821535781,750.0,1.0,5260.027562957257,6610.667015451939,5251.365962732583,6603.409415263683,330.1586350480075
12292,12292.0,217.0,2371.344157610089,1057.2390297986567,252.0,1.0,2376.9169577546413,1062.4878299348056,2365.7713574655354,1051.9902296625078,753.7368170224449
27629,27629.0,153.0,3746.355806387961,2974.945428971201,489.0,1.0,3750.3626064918935,2980.9502291269605,3742.349006284028,2968.9406288154423,497.07223330717017
48968,48968.0,72.0,5663.622507147492,1092.108938343823,787.0,1.0,5668.9253072850415,1095.68373843655,5658.319707009941,1088.534138251096,277.7211957676521
1403,1403.0,235.0,982.3312831558287,4158.0971171967685,67.0,1.0,988.3360833115877,4162.697917316109,976.3264830000699,4153.496317077428,619.5634852617851
26727,26727.0,131.0,3827.4745835289364,5818.374841757119,475.0,1.0,3832.23738365248,5822.381641861051,3822.7117834053943,5814.368041653186,380.89878728031084
34385,34385.0,101.0,4402.243002545089,2318.102262675762,586.0,1.0,4418.183802958578,2329.669062975794,4386.302202131599,2306.5354623757307,946.0922250014813
13189,13189.0,209.0,2464.4314074367285,3136.0661883838475,263.0,1.0,2470.706207599491,3144.770988609642,2458.156607273966,3127.361388158053,975.0979701062448
30833,30833.0,128.0,3923.1443251594897,6269.599569328128,536.0,1.0,3928.123125288636,6274.25436944887,3918.1655250303447,6264.944769207387,366.9263059954451
76973,76973.0,66.0,8240.7670824714,4427.030300911516,1232.0,1.0,8244.287882562727,4430.659101005644,8237.246282380074,4423.401500817387,261.051181062843
34418,34418.0,249.0,4349.647001180798,2168.2522587887947,586.0,1.0,4356.083801347761,2174.7970589585602,4343.210201013833,2161.707458619029,770.8898963123146
61333,61333.0,171.0,6713.819110523908,2140.542720086873,985.0,1.0,6720.147910688072,2148.113520283252,6707.490310359746,2132.9719198904927,988.3022019912547
72133,72133.0,100.0,7451.245219308883,6291.7766111791125,1152.0,1.0,7457.574019473046,6297.295411322266,7444.916419144721,6286.257811035961,313.0365236797448
59321,59321.0,344.0,6253.827348530293,6423.686742879449,954.0,1.0,6264.314148802309,6434.497543159871,6243.340548258275,6412.875942599028,1155.9509822085581
40123,40123.0,74.0,4762.76104527712,3567.4420590251684,663.0,1.0,4768.819845434278,3572.8528591655195,4756.702245119959,3562.031258884817,579.0025063575581
1240,1240.0,271.0,896.6613618172705,4877.026266694069,64.0,1.0,904.0701620094478,4883.19306685403,889.2525616250932,4870.859466534108,1001.142517057386
75712,75712.0,233.0,7884.3705710954955,5266.348844829947,1208.0,1.0,7890.807371262461,5271.597644966097,7877.933770928532,5261.100044693798,556.5096475906712
80235,80235.0,163.0,8691.312277479097,4522.904994599521,1285.0,1.0,8696.339677609503,4528.963794756681,8686.284877348691,4516.8461944423625,666.3170862072739
14271,14271.0,110.0,2458.1308588758106,6144.137141034008,279.0,1.0,2462.461658988148,6148.89994115755,2453.800058763474,6139.374340910465,484.1181942351392
58677,58677.0,213.0,6281.298259554431,4123.445319976658,942.0,1.0,6288.215659733863,4130.638120163232,6274.380859375,4116.252519790083,760.6431884207348
1578,1578.0,234.0,906.7323711402713,3567.867375344038,70.0,1.0,913.7091713212429,3573.278175484389,899.7555709592998,3562.456575203687,658.4448480788773
62147,62147.0,54.0,6791.516146130861,1748.6042105257513,998.0,1.0,6794.9829462207845,1751.9630106128755,6788.049346040933,1745.245410438627,152.78995152645462
47252,47252.0,77.0,5373.391885653138,4385.245875203982,762.0,1.0,5377.290685754268,4387.627275265753,5369.493085552007,4382.864475142212,198.06802723539573
69705,69705.0,126.0,7450.9558473974475,2760.7790921852,1117.0,1.0,7457.446647565812,2765.2178923003376,7444.4650472290805,2756.340292070061,462.20795229847727
33651,33651.0,198.0,4488.230562273413,409.71312300488347,577.0,1.0,4495.207362454385,420.1459232755005,4481.25376209244,399.2803227342665,1121.2723337694947
82100,82100.0,52.0,8820.817152898759,5726.613728784025,1317.0,1.0,8823.797952976078,5730.620528887956,8817.836352821441,5722.606928680091,116.95324278731373
12789,12789.0,209.0,2377.1015958748762,1962.0284812822933,257.0,1.0,2382.134396005422,1967.223281417042,2372.0687957443297,1956.8336811475456,596.6559712733872
25169,25169.0,126.0,3615.552704703063,3113.358086977154,452.0,1.0,3619.1815047971904,3119.038887124509,3611.923904608935,3107.6772868298,487.3357088020578
49817,49817.0,127.0,5627.496433313936,3206.942163221538,798.0,1.0,5632.745233450086,3213.324963387102,5622.247633177787,3200.5593630559747,532.3348982565309
61129,61129.0,125.0,6639.552562158555,2915.487032774836,981.0,1.0,6646.097362328322,2921.707832936197,6633.007761988789,2909.266232613474,664.0925571718695
10771,10771.0,155.0,2068.5650321282446,4531.402410797776,228.0,1.0,2074.893832292408,4538.64921098575,2062.236231964081,4524.1556106098,635.8436890663718
4973,4973.0,90.0,1513.8478453457355,1412.1529392041266,132.0,1.0,1519.4746454916894,1418.049739357084,1508.2210451997814,1406.2561390511692,714.6245069933722
10725,10725.0,331.0,2064.6770320273936,4674.93441452086,228.0,1.0,2072.1938322223723,4683.909214753658,2057.160231832415,4665.959614288062,916.2865627352188
31312,31312.0,61.0,4063.977378394455,6378.631152763963,542.0,1.0,4068.9021785222,6381.773952845483,4059.05257826671,6375.4883526824415,220.0916432579395
48309,48309.0,166.0,5376.839216224849,1690.4559489935634,775.0,1.0,5381.062016334385,1694.2467490918937,5372.616416115314,1686.665148895234,444.4302657762043
25600,25600.0,201.0,3456.6728049144153,4454.646647695452,459.0,1.0,3461.9756050519645,4460.759447854012,3451.3700047768652,4448.533847536892,750.311100044725
